nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"E","B","C+","C+","C","B-","C","B+","B+","E","C+","C","E","B","E","TERLAMBAT"
"C+","B-","B-","B-","C","B-","C","D","B","C","C","C","C+","C+","C","TERLAMBAT"
"C","D","B-","B+","C","B-","C","A-","B","B","D","E","C","B","E","TERLAMBAT"
"C","B-","C","C","C+","C+","B-","B-","B","A-","C+","B-","D","D","C","TERLAMBAT"
"A","C+","B-","C+","B+","C","B-","D","B+","B","C","A","C+","B","A","TERLAMBAT"
"A","A-","B+","A-","B+","B-","B+","B-","B+","B+","C+","C","C","A-","A-","TERLAMBAT"
"C+","A","B+","B-","A-","C+","B+","B","B+","B+","B-","B-","D","A-","B-","TERLAMBAT"
"A-","C+","A-","B","B+","B","A-","B+","A-","B+","B+","B+","B+","C+","A-","TERLAMBAT"
"B-","B-","B","B-","B+","B-","B","C+","B+","B+","C+","B-","C","B+","A","TERLAMBAT"
"B+","C+","B","E","B","C","C","C+","A","B+","C+","B+","C","C","B","TERLAMBAT"
"E","C","C+","C","C+","C+","C","B+","B+","C","B-","B","C+","B","B-","TERLAMBAT"
"D","D","B-","D","B+","C+","B-","B+","A","C+","C+","B","A-","A-","B-","TERLAMBAT"
"D","B-","D","B","C+","E","D","B-","C","E","C","B+","D","E","B","TERLAMBAT"
"A-","D","B+","B+","B+","B-","C+","C+","A","B+","B","B-","B+","A-","B-","TERLAMBAT"
"A","B+","B","E","D","C+","B-","E","B","B-","C+","B","D","C","B-","TERLAMBAT"
"B","B","B+","B","B-","B-","B","B","A","B","B+","B","C+","B","B-","TERLAMBAT"
"D","A-","C","B","C+","C+","B-","B+","B","D","B-","B-","D","D","A-","TERLAMBAT"
"B","A","B+","C+","B+","C+","B-","B+","A","B","B","B","B+","B","B-","TERLAMBAT"
"A","A","B","B","B+","C","B+","A-","B+","A-","B+","B+","B","C","A","TERLAMBAT"
"A-","B+","C","E","D","B-","C","B","B+","B-","B-","B","D","B-","A-","TERLAMBAT"
"C+","B","C","C+","B","C","B","C","B","B","C","B-","C","B","B+","TERLAMBAT"
